Team,AvAge,PTS,PTS%,GF,GA,SRS,GF/G,GA/G,PP%,PPA,PK%,SH,S,S%,SA,SV%,Year,IsChamp
St. Louis Blues*,28.7,114,0.695,248,165,1.08,3.02,2.01,17.84,42,87.83,13,2445,10.1,1814,0.909,2000,False
Detroit Red Wings*,30.7,108,0.659,278,210,0.88,3.39,2.56,20.41,44,85.85,15,2620,10.6,2169,0.903,2000,False
Philadelphia Flyers*,29.0,105,0.64,237,179,0.58,2.89,2.18,20.29,42,86.71,7,2495,9.5,1938,0.908,2000,False
New Jersey Devils*,27.8,103,0.628,251,203,0.46,3.06,2.48,20.07,39,87.54,9,2717,9.2,2100,0.903,2000,True
Washington Capitals*,29.0,102,0.622,227,194,0.28,2.77,2.37,14.98,47,86.22,9,2269,10.0,2270,0.915,2000,False
Dallas Stars*,28.8,102,0.622,211,184,0.41,2.57,2.24,15.74,33,89.25,9,2099,10.1,2183,0.916,2000,False
Toronto Maple Leafs*,28.2,100,0.61,246,222,0.25,3.0,2.71,17.76,58,82.42,11,2160,11.4,2386,0.907,2000,False
Florida Panthers*,27.6,98,0.598,244,209,0.28,2.98,2.55,17.16,47,85.45,2,2198,11.1,2431,0.914,2000,False
Colorado Avalanche*,27.4,96,0.585,233,201,0.46,2.84,2.45,19.54,52,84.48,3,2187,10.7,2282,0.912,2000,False
Ottawa Senators*,27.4,95,0.579,244,210,0.3,2.98,2.56,16.77,34,87.55,6,2584,9.4,2064,0.898,2000,False
Los Angeles Kings*,28.0,94,0.573,245,228,0.3,2.99,2.78,16.85,66,82.31,4,2421,10.1,2290,0.9,2000,False
Phoenix Coyotes*,29.6,90,0.549,232,228,0.15,2.83,2.78,11.94,43,85.95,14,2212,10.5,2334,0.902,2000,False
Pittsburgh Penguins*,26.8,88,0.537,241,236,-0.03,2.94,2.88,15.61,56,82.55,7,2137,11.3,2356,0.9,2000,False
Edmonton Oilers*,26.0,88,0.537,226,212,0.22,2.76,2.59,15.77,54,85.37,9,2310,9.8,2318,0.909,2000,False
San Jose Sharks*,27.6,87,0.53,225,214,0.23,2.74,2.61,16.45,61,83.6,16,2248,10.0,2357,0.909,2000,False
Buffalo Sabres*,26.5,85,0.518,213,204,0.01,2.6,2.49,10.54,54,85.04,8,2228,9.6,2207,0.908,2000,False
Carolina Hurricanes,29.4,84,0.512,217,216,-0.1,2.65,2.63,16.96,40,84.19,3,2161,10.0,2141,0.899,2000,False
Vancouver Canucks,27.0,83,0.506,227,237,-0.01,2.77,2.89,15.79,63,80.43,9,2187,10.4,2292,0.897,2000,False
Montreal Canadiens,27.6,83,0.506,196,194,-0.06,2.39,2.37,16.72,40,86.75,7,2135,9.2,2264,0.914,2000,False
Mighty Ducks of Anaheim,27.6,83,0.506,217,227,0.02,2.65,2.77,16.57,62,79.05,4,2352,9.2,2259,0.9,2000,False
Chicago Blackhawks,27.1,78,0.476,242,245,0.1,2.95,2.99,16.0,58,83.66,10,2106,11.5,2397,0.898,2000,False
Calgary Flames,26.5,77,0.47,211,256,-0.42,2.57,3.12,17.88,74,79.73,4,2468,8.5,2381,0.892,2000,False
New York Rangers,29.6,73,0.445,218,246,-0.39,2.66,3.0,16.92,49,83.22,5,2416,9.0,2446,0.899,2000,False
Boston Bruins,26.8,73,0.445,210,248,-0.52,2.56,3.02,14.37,55,79.48,0,2516,8.3,2273,0.891,2000,False
Nashville Predators,26.7,70,0.427,199,240,-0.36,2.43,2.93,13.49,46,85.11,9,2215,9.0,2499,0.904,2000,False
New York Islanders,24.4,58,0.354,194,275,-1.02,2.37,3.35,14.06,84,80.0,8,2146,9.0,2742,0.9,2000,False
Tampa Bay Lightning,25.3,54,0.329,204,310,-1.34,2.49,3.78,13.97,77,80.7,9,2084,9.8,2494,0.876,2000,False
Atlanta Thrashers,27.5,39,0.238,170,313,-1.75,2.07,3.82,12.64,76,80.31,6,2115,8.0,2543,0.877,2000,False
Colorado Avalanche*,28.4,118,0.72,270,192,0.95,3.29,2.34,22.04,59,82.75,11,2395,11.3,2059,0.907,2001,True
New Jersey Devils*,28.5,111,0.677,295,195,1.1,3.6,2.38,22.9,49,84.69,9,2588,11.4,2024,0.904,2001,False
Detroit Red Wings*,30.1,111,0.677,253,202,0.63,3.09,2.46,22.14,55,85.71,10,2650,9.5,2221,0.909,2001,False
Ottawa Senators*,25.8,109,0.665,274,205,0.74,3.34,2.5,18.64,49,86.43,10,2476,11.1,2235,0.908,2001,False
Dallas Stars*,29.4,106,0.646,241,187,0.68,2.94,2.28,19.62,49,86.2,7,2100,11.5,2043,0.908,2001,False
St. Louis Blues*,28.5,103,0.628,249,195,0.67,3.04,2.38,18.7,57,85.35,15,2494,10.0,1933,0.899,2001,False
Philadelphia Flyers*,28.1,100,0.61,240,207,0.33,2.93,2.52,15.71,55,82.48,11,2452,9.8,2144,0.903,2001,False
Buffalo Sabres*,28.1,98,0.598,218,184,0.35,2.66,2.24,16.09,40,88.02,6,2204,9.9,2195,0.916,2001,False
Pittsburgh Penguins*,28.0,96,0.585,281,256,0.23,3.43,3.12,20.27,78,80.74,7,2394,11.7,2397,0.893,2001,False
Washington Capitals*,30.1,96,0.585,233,211,0.16,2.84,2.57,21.25,62,84.14,6,2348,9.9,2273,0.907,2001,False
San Jose Sharks*,26.8,95,0.579,217,192,0.36,2.65,2.34,14.04,61,86.17,8,2266,9.6,2169,0.911,2001,False
Edmonton Oilers*,26.2,93,0.567,243,222,0.32,2.96,2.71,14.82,62,83.77,13,2145,11.3,2139,0.896,2001,False
Los Angeles Kings*,28.5,92,0.561,252,228,0.32,3.07,2.78,19.35,72,81.15,14,2288,11.0,2160,0.894,2001,False
Toronto Maple Leafs*,29.4,90,0.549,232,207,0.25,2.83,2.52,16.06,55,84.97,2,2276,10.2,2244,0.908,2001,False
Vancouver Canucks*,26.7,90,0.549,239,238,0.08,2.91,2.9,17.07,74,80.88,12,2434,9.8,2121,0.888,2001,False
Phoenix Coyotes,28.5,90,0.549,214,212,0.07,2.61,2.59,16.62,64,85.19,9,2055,10.4,2430,0.913,2001,False
Boston Bruins,26.9,88,0.537,227,249,-0.27,2.77,3.04,16.41,65,82.76,8,2359,9.6,2190,0.886,2001,False
Carolina Hurricanes*,28.7,88,0.537,212,225,-0.24,2.59,2.74,18.85,45,87.18,6,2217,9.6,2206,0.898,2001,False
Nashville Predators,27.0,80,0.488,186,200,-0.11,2.27,2.44,14.13,49,85.2,7,2182,8.5,2347,0.915,2001,False
Calgary Flames,27.7,73,0.445,197,236,-0.37,2.4,2.88,14.94,76,79.89,3,2230,8.8,2224,0.894,2001,False
New York Rangers,29.5,72,0.439,250,290,-0.53,3.05,3.54,17.91,86,78.5,16,2345,10.7,2575,0.887,2001,False
Chicago Blackhawks,27.8,71,0.433,210,246,-0.36,2.56,3.0,12.89,52,83.9,15,2160,9.7,2190,0.888,2001,False
Columbus Blue Jackets,28.2,71,0.433,190,233,-0.44,2.32,2.84,14.7,70,80.72,3,2082,9.1,2475,0.906,2001,False
Montreal Canadiens,26.8,70,0.427,206,232,-0.35,2.51,2.83,16.15,60,82.2,5,2148,9.6,2296,0.899,2001,False
Minnesota Wild,27.4,68,0.415,168,210,-0.42,2.05,2.56,9.63,57,84.72,13,2020,8.3,2307,0.909,2001,False
Mighty Ducks of Anaheim,26.9,66,0.402,188,245,-0.6,2.29,2.99,17.69,71,81.79,6,2123,8.9,2417,0.899,2001,False
Florida Panthers,27.0,66,0.402,200,246,-0.6,2.44,3.0,13.03,64,83.92,8,2170,9.2,2559,0.904,2001,False
Atlanta Thrashers,27.8,60,0.366,211,289,-0.99,2.57,3.52,13.67,90,77.94,9,2291,9.2,2655,0.891,2001,False
Tampa Bay Lightning,24.6,59,0.36,201,280,-0.98,2.45,3.41,12.5,72,82.94,9,2014,10.0,2557,0.89,2001,False
New York Islanders,26.8,52,0.317,185,268,-1.02,2.26,3.27,13.21,79,82.25,9,2257,8.2,2377,0.887,2001,False
Detroit Red Wings*,31.9,116,0.707,251,187,0.83,3.06,2.28,20.33,48,86.01,9,2538,9.9,2159,0.913,2002,True
Boston Bruins*,28.1,101,0.616,236,201,0.33,2.88,2.45,13.78,45,87.11,14,2595,9.1,2057,0.902,2002,False
Toronto Maple Leafs*,29.6,100,0.61,249,207,0.44,3.04,2.52,15.47,51,84.45,9,2339,10.6,2044,0.899,2002,False
Colorado Avalanche*,27.9,99,0.604,212,169,0.58,2.59,2.06,18.02,41,86.98,7,2252,9.4,2177,0.922,2002,False
San Jose Sharks*,27.9,99,0.604,248,199,0.62,3.02,2.43,15.99,54,85.83,15,2228,11.1,2335,0.915,2002,False
St. Louis Blues*,29.3,98,0.598,227,188,0.54,2.77,2.29,17.42,56,85.22,5,2378,9.5,1847,0.898,2002,False
Philadelphia Flyers*,28.9,97,0.591,234,192,0.41,2.85,2.34,13.0,40,86.35,8,2442,9.6,2139,0.91,2002,False
Chicago Blackhawks*,29.4,96,0.585,216,207,0.19,2.63,2.52,17.88,63,81.47,4,2271,9.5,2077,0.9,2002,False
New York Islanders*,27.5,96,0.585,239,220,0.15,2.91,2.68,16.25,52,85.79,17,2319,10.3,2285,0.904,2002,False
Los Angeles Kings*,28.9,95,0.579,214,190,0.35,2.61,2.32,20.68,49,86.61,5,2110,10.1,2051,0.907,2002,False
Phoenix Coyotes*,27.2,95,0.579,228,210,0.29,2.78,2.56,15.59,60,83.15,8,2179,10.5,2349,0.911,2002,False
New Jersey Devils*,28.9,95,0.579,205,187,0.15,2.5,2.28,16.86,43,83.77,2,2445,8.4,1900,0.902,2002,False
Vancouver Canucks*,26.3,94,0.573,254,211,0.59,3.1,2.57,18.55,57,84.96,3,2326,10.9,2078,0.898,2002,False
Ottawa Senators*,26.3,94,0.573,243,208,0.36,2.96,2.54,16.62,48,84.36,11,2469,9.8,2125,0.902,2002,False
Edmonton Oilers,26.1,92,0.561,205,182,0.34,2.5,2.22,15.32,50,85.63,12,2256,9.1,2120,0.914,2002,False
Carolina Hurricanes*,29.2,91,0.555,217,217,-0.09,2.65,2.65,16.11,54,83.73,4,2347,9.2,2214,0.902,2002,False
Dallas Stars,30.5,90,0.549,215,213,0.09,2.62,2.6,17.14,59,81.5,7,2335,9.2,2135,0.9,2002,False
Montreal Canadiens*,28.4,87,0.53,207,209,-0.1,2.52,2.55,14.95,38,86.28,7,2092,9.9,2597,0.92,2002,False
Washington Capitals,30.1,85,0.518,228,240,-0.25,2.78,2.93,19.4,58,82.15,2,2293,9.9,2357,0.898,2002,False
Buffalo Sabres,26.0,82,0.5,213,200,0.09,2.6,2.44,13.33,41,86.51,7,2295,9.3,2120,0.906,2002,False
New York Rangers,28.9,80,0.488,227,258,-0.43,2.77,3.15,14.72,80,79.9,8,2392,9.5,2618,0.901,2002,False
Calgary Flames,27.6,79,0.482,201,220,-0.15,2.45,2.68,15.11,66,81.46,10,2207,9.1,2242,0.902,2002,False
Minnesota Wild,27.3,73,0.445,195,238,-0.41,2.38,2.9,14.75,62,82.87,11,1954,10.0,2296,0.896,2002,False
Nashville Predators,26.8,69,0.421,196,230,-0.31,2.39,2.8,14.24,50,85.88,6,2019,9.7,2313,0.901,2002,False
Mighty Ducks of Anaheim,27.0,69,0.421,175,198,-0.2,2.13,2.41,11.53,46,86.06,4,2142,8.2,2253,0.912,2002,False
Pittsburgh Penguins,26.5,69,0.421,198,249,-0.66,2.41,3.04,14.03,57,83.81,5,2215,8.9,2394,0.896,2002,False
Tampa Bay Lightning,26.4,69,0.421,178,219,-0.58,2.17,2.67,14.74,40,85.35,6,2179,8.2,2523,0.913,2002,False
Florida Panthers,26.1,60,0.366,180,250,-0.92,2.2,3.05,14.66,76,80.66,8,2205,8.2,2666,0.906,2002,False
Columbus Blue Jackets,28.0,57,0.348,164,255,-0.97,2.0,3.11,14.04,52,83.01,3,2046,8.0,2469,0.897,2002,False
Atlanta Thrashers,27.1,54,0.329,187,288,-1.27,2.28,3.51,12.09,65,81.84,3,1984,9.4,2911,0.901,2002,False
Ottawa Senators*,26.3,113,0.689,263,182,0.88,3.21,2.22,21.23,50,84.94,4,2441,10.8,2033,0.91,2003,False
Dallas Stars*,30.0,111,0.677,245,169,0.94,2.99,2.06,18.96,50,85.55,9,2466,9.9,2073,0.918,2003,False
Detroit Red Wings*,31.4,110,0.671,269,203,0.85,3.28,2.48,23.82,55,85.41,11,2441,11.0,2361,0.914,2003,False
New Jersey Devils*,29.3,108,0.659,216,166,0.49,2.63,2.02,11.88,32,87.88,7,2601,8.3,1933,0.914,2003,True
Philadelphia Flyers*,29.1,107,0.652,211,166,0.43,2.57,2.02,14.33,50,85.21,8,2537,8.3,2019,0.918,2003,False
Colorado Avalanche*,28.7,105,0.64,251,194,0.75,3.06,2.37,18.73,63,82.45,5,2386,10.5,2322,0.916,2003,False
Vancouver Canucks*,26.9,104,0.634,264,208,0.74,3.22,2.54,20.76,62,84.06,12,2388,11.1,2185,0.905,2003,False
St. Louis Blues*,29.6,99,0.604,253,222,0.43,3.09,2.71,20.46,71,81.75,11,2301,11.0,2047,0.892,2003,False
Toronto Maple Leafs*,30.4,98,0.598,236,208,0.26,2.88,2.54,17.55,56,86.85,11,2152,11.0,2423,0.914,2003,False
Mighty Ducks of Anaheim*,27.7,95,0.579,203,193,0.19,2.48,2.35,16.09,42,87.39,8,2246,9.0,2377,0.919,2003,False
Minnesota Wild*,28.0,95,0.579,198,178,0.32,2.41,2.17,14.21,43,86.04,9,2086,9.5,2335,0.924,2003,False
Tampa Bay Lightning*,26.8,93,0.567,219,210,-0.01,2.67,2.56,17.9,55,82.59,6,2395,9.1,2298,0.909,2003,False
Washington Capitals*,29.1,92,0.561,224,220,-0.06,2.73,2.68,17.22,72,81.25,8,2223,10.1,2454,0.91,2003,False
Edmonton Oilers*,26.6,92,0.561,231,230,0.12,2.82,2.8,14.51,61,82.62,13,2292,10.1,2248,0.898,2003,False
Boston Bruins*,27.9,87,0.53,245,237,0.02,2.99,2.89,18.15,65,82.67,10,2636,9.3,2322,0.898,2003,False
New York Islanders*,27.7,83,0.506,224,231,-0.16,2.73,2.82,15.1,67,83.46,12,2427,9.2,2318,0.9,2003,False
Los Angeles Kings,28.4,79,0.482,203,221,-0.13,2.48,2.7,14.69,62,83.29,8,2272,8.9,2141,0.897,2003,False
Chicago Blackhawks,29.6,79,0.482,207,226,-0.14,2.52,2.76,12.66,56,84.82,8,2279,9.1,2345,0.904,2003,False
New York Rangers,29.4,78,0.476,210,231,-0.33,2.56,2.82,16.22,73,81.19,8,2465,8.5,2426,0.905,2003,False
Phoenix Coyotes,27.5,78,0.476,204,230,-0.23,2.49,2.8,14.29,77,81.31,4,2297,8.9,2458,0.906,2003,False
Montreal Canadiens,28.9,77,0.47,206,234,-0.39,2.51,2.85,13.97,58,81.7,2,2119,9.7,2678,0.913,2003,False
Calgary Flames,27.4,75,0.457,186,228,-0.37,2.27,2.78,12.08,65,83.29,5,2341,7.9,2222,0.897,2003,False
Nashville Predators,27.1,74,0.451,183,206,-0.17,2.23,2.51,13.88,61,82.72,2,2316,7.9,2252,0.909,2003,False
Atlanta Thrashers,27.1,74,0.451,226,284,-0.78,2.76,3.46,17.25,65,81.69,8,2163,10.4,2593,0.89,2003,False
San Jose Sharks,27.5,73,0.445,214,239,-0.21,2.61,2.91,18.13,68,81.01,5,2303,9.3,2392,0.9,2003,False
Buffalo Sabres,25.9,72,0.439,190,219,-0.4,2.32,2.67,14.41,53,85.4,8,2345,8.1,2296,0.905,2003,False
Florida Panthers,25.1,70,0.427,176,237,-0.78,2.15,2.89,14.12,66,81.46,7,2229,7.9,2724,0.913,2003,False
Columbus Blue Jackets,27.7,69,0.421,213,263,-0.51,2.6,3.21,17.32,60,85.33,12,2143,9.9,2641,0.9,2003,False
Pittsburgh Penguins,27.8,65,0.396,189,255,-0.85,2.3,3.11,18.33,58,83.52,3,2079,9.1,2535,0.899,2003,False
Carolina Hurricanes,28.5,61,0.372,171,240,-0.9,2.09,2.93,13.81,71,81.89,6,2414,7.1,2332,0.897,2003,False
Detroit Red Wings*,31.9,109,0.665,255,189,0.72,3.11,2.3,20.06,42,86.75,15,2484,10.3,2151,0.912,2004,False
Tampa Bay Lightning*,28.1,106,0.646,245,192,0.56,2.99,2.34,16.22,42,84.89,15,2460,10.0,2085,0.908,2004,True
Boston Bruins*,27.9,104,0.634,209,188,0.29,2.55,2.29,16.0,55,83.58,7,2500,8.4,2280,0.918,2004,False
San Jose Sharks*,26.8,104,0.634,219,183,0.4,2.67,2.23,16.62,47,85.27,9,2300,9.5,2373,0.923,2004,False
Toronto Maple Leafs*,30.7,103,0.628,242,204,0.48,2.95,2.49,20.11,64,83.42,8,2253,10.7,2166,0.906,2004,False
Ottawa Senators*,27.0,102,0.622,262,189,0.88,3.2,2.3,21.62,57,83.57,6,2421,10.8,2040,0.907,2004,False
Vancouver Canucks*,27.5,101,0.616,235,194,0.52,2.87,2.37,14.89,50,86.11,5,2379,9.9,2183,0.911,2004,False
Philadelphia Flyers*,29.7,101,0.616,229,186,0.47,2.79,2.27,20.7,58,83.33,7,2410,9.5,2092,0.911,2004,False
Colorado Avalanche*,27.9,100,0.61,236,198,0.48,2.88,2.41,20.39,58,83.75,7,2410,9.8,2325,0.915,2004,False
New Jersey Devils*,28.8,100,0.61,213,164,0.54,2.6,2.0,16.35,39,85.34,8,2433,8.8,2001,0.918,2004,False
Dallas Stars*,30.6,97,0.591,194,175,0.22,2.37,2.13,15.85,44,85.85,5,2196,8.8,1902,0.908,2004,False
Calgary Flames*,26.9,94,0.573,200,176,0.33,2.44,2.15,15.13,53,84.68,11,2248,8.9,2090,0.916,2004,False
Montreal Canadiens*,28.0,93,0.567,208,192,0.23,2.54,2.34,17.24,55,82.48,5,2270,9.2,2342,0.918,2004,False
St. Louis Blues*,30.0,91,0.555,191,198,-0.09,2.33,2.41,17.89,57,84.55,7,2223,8.6,2103,0.906,2004,False
Nashville Predators*,26.5,91,0.555,216,217,-0.05,2.63,2.65,16.82,64,81.77,14,2227,9.7,2335,0.907,2004,False
New York Islanders*,27.7,91,0.555,237,210,0.29,2.89,2.56,16.62,52,85.52,11,2341,10.1,2244,0.906,2004,False
Edmonton Oilers,27.5,89,0.543,221,208,0.21,2.7,2.54,13.02,66,81.14,13,2332,9.5,2175,0.904,2004,False
Buffalo Sabres,26.4,85,0.518,220,221,0.02,2.68,2.7,15.8,53,84.77,7,2301,9.6,2340,0.906,2004,False
Minnesota Wild,27.4,83,0.506,188,183,0.08,2.29,2.23,13.57,44,84.56,7,1982,9.5,2383,0.923,2004,False
Los Angeles Kings,28.7,81,0.494,205,217,-0.15,2.5,2.65,14.04,65,80.65,9,2349,8.7,2213,0.902,2004,False
Atlanta Thrashers,27.1,78,0.476,214,243,-0.38,2.61,2.96,14.63,58,85.17,11,2141,10.0,2411,0.899,2004,False
Carolina Hurricanes,28.4,76,0.463,172,209,-0.46,2.1,2.55,10.68,66,81.62,9,2394,7.2,2150,0.903,2004,False
Mighty Ducks of Anaheim,27.7,76,0.463,184,213,-0.34,2.24,2.6,18.06,54,84.7,5,2438,7.5,2443,0.913,2004,False
Florida Panthers,25.3,75,0.457,188,221,-0.42,2.29,2.7,16.77,51,86.33,7,2273,8.3,2828,0.922,2004,False
New York Rangers,30.2,69,0.421,206,250,-0.51,2.51,3.05,14.29,80,79.38,6,2416,8.5,2396,0.896,2004,False
Phoenix Coyotes,26.7,68,0.415,188,245,-0.66,2.29,2.99,14.25,71,82.16,9,2171,8.7,2506,0.902,2004,False
Columbus Blue Jackets,27.5,62,0.378,177,238,-0.72,2.16,2.9,14.46,50,85.16,5,2280,7.8,2623,0.909,2004,False
Chicago Blackhawks,25.8,59,0.36,188,259,-0.84,2.29,3.16,15.76,63,83.55,5,2401,7.8,2521,0.897,2004,False
Washington Capitals,28.0,59,0.36,186,253,-0.8,2.27,3.09,19.16,75,81.3,4,1946,9.6,2586,0.902,2004,False
Pittsburgh Penguins,26.5,58,0.354,190,303,-1.31,2.32,3.7,18.06,84,77.24,7,2029,9.4,2720,0.889,2004,False
Detroit Red Wings*,32.1,124,0.756,301,206,1.03,3.67,2.51,22.13,67,85.47,7,2796,10.8,2180,0.906,2006,False
Ottawa Senators*,27.3,113,0.689,312,205,1.18,3.8,2.5,20.82,73,84.66,25,2811,11.1,2344,0.913,2006,False
Carolina Hurricanes*,29.2,112,0.683,286,258,0.29,3.49,3.15,17.89,81,81.8,17,2553,11.2,2497,0.897,2006,True
Dallas Stars*,29.7,112,0.683,253,217,0.61,3.09,2.65,17.67,82,83.73,10,2333,10.8,2099,0.897,2006,False
Buffalo Sabres*,26.9,110,0.671,276,234,0.5,3.37,2.85,21.17,59,86.56,10,2510,11.0,2502,0.906,2006,False
Nashville Predators*,27.6,106,0.646,253,224,0.32,3.09,2.73,18.36,82,84.62,12,2380,10.6,2661,0.916,2006,False
Calgary Flames*,28.0,103,0.628,216,193,0.3,2.63,2.35,18.2,80,84.25,8,2299,9.4,2260,0.915,2006,False
Philadelphia Flyers*,28.2,101,0.616,263,253,0.0,3.21,3.09,18.02,97,79.14,19,2552,10.3,2370,0.893,2006,False
New Jersey Devils*,30.0,101,0.616,233,225,0.05,2.84,2.74,17.69,63,81.95,3,2393,9.7,2403,0.906,2006,False
