Team,AvAge,PTS,PTS%,GF,GA,SRS,GF/G,GA/G,PP%,PPA,PK%,SH,S,S%,SA,SV%,Year,IsChamp
Columbus Blue Jackets,26.5,76,0.463,213,248,-0.38,2.6,3.02,17.34,53,81.0,3,2387,8.9,2550,0.903,2016,False
Vancouver Canucks,28.9,75,0.457,186,239,-0.62,2.27,2.91,15.79,47,81.12,4,2311,8.0,2668,0.91,2016,False
Edmonton Oilers,26.4,70,0.427,199,242,-0.51,2.43,2.95,18.14,49,80.71,5,2386,8.3,2548,0.905,2016,False
Toronto Maple Leafs,27.4,69,0.421,192,240,-0.56,2.34,2.93,15.44,50,81.62,3,2515,7.6,2503,0.904,2016,False
Washington Capitals*,28.4,118,0.72,261,177,0.99,3.18,2.16,22.98,44,83.82,5,2495,10.5,2282,0.922,2017,False
Pittsburgh Penguins*,28.7,111,0.677,278,229,0.59,3.39,2.79,23.08,52,79.77,5,2745,10.1,2671,0.914,2017,True
Chicago Blackhawks*,29.4,109,0.665,240,212,0.32,2.93,2.59,18.03,47,77.73,1,2508,9.6,2574,0.918,2017,False
Columbus Blue Jackets*,26.2,108,0.659,247,193,0.68,3.01,2.35,19.91,39,82.51,10,2540,9.7,2489,0.922,2017,False
Minnesota Wild*,28.3,106,0.646,263,206,0.63,3.21,2.51,20.98,37,82.95,5,2527,10.4,2465,0.916,2017,False
Anaheim Ducks*,27.6,105,0.64,220,197,0.24,2.68,2.4,18.73,43,84.7,9,2425,9.1,2429,0.919,2017,False
Montreal Canadiens*,28.8,103,0.628,223,198,0.31,2.72,2.41,19.57,47,81.12,5,2459,9.1,2429,0.918,2017,False
Edmonton Oilers*,26.7,103,0.628,243,207,0.37,2.96,2.52,22.86,43,80.72,4,2547,9.5,2416,0.914,2017,False
New York Rangers*,28.3,102,0.622,253,216,0.47,3.09,2.63,20.26,45,79.91,9,2438,10.4,2465,0.912,2017,False
St. Louis Blues*,28.0,99,0.604,233,216,0.17,2.84,2.63,21.28,40,84.79,3,2330,10.0,2327,0.907,2017,False
San Jose Sharks*,29.6,99,0.604,219,200,0.21,2.67,2.44,16.67,41,80.66,7,2453,8.9,2269,0.912,2017,False
Ottawa Senators*,28.8,98,0.598,206,210,-0.01,2.51,2.56,16.93,50,79.76,7,2463,8.4,2467,0.915,2017,False
Toronto Maple Leafs*,26.2,95,0.579,250,234,0.11,3.05,2.85,23.36,44,82.47,6,2617,9.6,2673,0.912,2017,False
Boston Bruins*,28.8,95,0.579,232,209,0.27,2.83,2.55,21.72,38,85.71,10,2721,8.5,2194,0.905,2017,False
Calgary Flames*,28.3,94,0.573,222,219,0.02,2.71,2.67,20.16,51,81.59,8,2388,9.3,2354,0.907,2017,False
Tampa Bay Lightning,26.8,94,0.573,230,224,0.09,2.8,2.73,22.79,48,81.4,4,2452,9.4,2492,0.91,2017,False
Nashville Predators*,27.9,94,0.573,238,220,0.16,2.9,2.68,18.92,46,80.91,12,2557,9.3,2472,0.911,2017,False
New York Islanders,28.4,94,0.573,239,238,0.03,2.91,2.9,14.96,40,82.38,5,2480,9.6,2616,0.909,2017,False
Philadelphia Flyers,27.6,88,0.537,212,231,-0.17,2.59,2.82,19.49,50,79.76,4,2585,8.2,2334,0.901,2017,False
Winnipeg Jets,26.1,87,0.53,246,255,-0.11,3.0,3.11,18.18,62,77.45,10,2448,10.0,2546,0.9,2017,False
Carolina Hurricanes,26.8,87,0.53,212,230,-0.21,2.59,2.8,17.75,32,84.16,10,2493,8.5,2320,0.901,2017,False
Los Angeles Kings,29.1,86,0.524,199,201,-0.07,2.43,2.45,19.09,38,84.49,5,2553,7.8,2120,0.905,2017,False
Florida Panthers,28.6,81,0.494,205,231,-0.3,2.5,2.82,16.98,36,85.31,8,2644,7.8,2595,0.911,2017,False
Dallas Stars,28.5,79,0.482,222,260,-0.48,2.71,3.17,17.9,65,73.9,5,2505,8.9,2439,0.893,2017,False
Detroit Red Wings,28.4,79,0.482,198,244,-0.41,2.41,2.98,15.08,45,80.85,3,2335,8.5,2507,0.903,2017,False
Buffalo Sabres,26.4,78,0.476,199,231,-0.41,2.43,2.82,24.46,53,77.64,3,2491,8.0,2813,0.918,2017,False
New Jersey Devils,28.1,70,0.427,180,241,-0.67,2.2,2.94,17.53,53,79.69,6,2279,7.9,2572,0.906,2017,False
Arizona Coyotes,27.3,70,0.427,191,258,-0.76,2.33,3.15,16.17,59,77.31,8,2281,8.4,2797,0.908,2017,False
Vancouver Canucks,28.8,69,0.421,178,241,-0.73,2.17,2.94,14.1,52,76.68,2,2273,7.8,2605,0.907,2017,False
Colorado Avalanche,27.6,48,0.293,165,276,-1.32,2.01,3.37,12.55,64,76.64,5,2303,7.2,2603,0.894,2017,False
Nashville Predators*,28.4,117,0.713,261,204,0.71,3.18,2.49,21.17,54,81.94,10,2641,9.9,2659,0.923,2018,False
Winnipeg Jets*,26.8,114,0.695,273,216,0.74,3.33,2.63,23.36,50,81.75,9,2643,10.3,2613,0.917,2018,False
Tampa Bay Lightning*,27.5,113,0.689,290,234,0.66,3.54,2.85,23.91,64,76.03,9,2680,10.8,2683,0.913,2018,False
Boston Bruins*,28.6,112,0.683,267,211,0.62,3.26,2.57,23.64,40,83.67,9,2703,9.9,2399,0.912,2018,False
Vegas Golden Knights*,28.0,109,0.665,268,225,0.52,3.27,2.74,21.37,44,81.43,8,2686,10.0,2521,0.911,2018,False
Washington Capitals*,28.4,105,0.64,256,238,0.21,3.12,2.9,22.54,53,80.3,4,2379,10.8,2613,0.909,2018,True
Toronto Maple Leafs*,28.3,105,0.64,270,230,0.49,3.29,2.8,25.0,43,81.39,4,2640,10.2,2776,0.917,2018,False
Minnesota Wild*,29.5,101,0.616,250,229,0.29,3.05,2.79,20.42,51,81.25,7,2476,10.1,2569,0.911,2018,False
Anaheim Ducks*,28.7,101,0.616,231,209,0.24,2.82,2.55,17.76,46,83.21,10,2475,9.3,2716,0.923,2018,False
San Jose Sharks*,28.8,100,0.61,247,226,0.28,3.01,2.76,20.62,34,84.82,8,2702,9.1,2488,0.909,2018,False
Pittsburgh Penguins*,27.7,100,0.61,270,248,0.23,3.29,3.02,26.15,53,80.0,6,2823,9.6,2553,0.903,2018,False
Los Angeles Kings*,29.1,98,0.598,237,202,0.44,2.89,2.46,20.42,39,85.0,5,2544,9.3,2537,0.92,2018,False
Philadelphia Flyers*,27.4,98,0.598,249,236,0.07,3.04,2.88,20.69,54,75.78,3,2631,9.5,2448,0.904,2018,False
Columbus Blue Jackets*,26.4,97,0.591,236,226,0.11,2.88,2.76,17.18,51,76.17,4,2761,8.5,2567,0.912,2018,False
New Jersey Devils*,27.7,97,0.591,243,240,0.02,2.96,2.93,21.43,47,81.78,12,2599,9.3,2616,0.908,2018,False
Florida Panthers,27.8,96,0.585,245,243,-0.01,2.99,2.96,18.88,45,80.18,10,2822,8.7,2838,0.914,2018,False
Colorado Avalanche*,26.4,95,0.579,255,236,0.28,3.11,2.88,21.96,45,83.27,7,2432,10.5,2731,0.914,2018,False
St. Louis Blues,28.5,94,0.573,223,222,0.1,2.72,2.71,15.45,47,79.65,5,2677,8.3,2438,0.909,2018,False
Dallas Stars,28.5,92,0.561,231,222,0.17,2.82,2.71,19.26,54,80.78,7,2560,9.0,2447,0.909,2018,False
Calgary Flames,28.4,84,0.512,216,243,-0.33,2.63,2.96,15.99,49,81.78,7,2759,7.8,2554,0.905,2018,False
Carolina Hurricanes,27.0,83,0.506,225,253,-0.35,2.74,3.09,18.41,43,77.49,3,2780,8.1,2367,0.893,2018,False
New York Islanders,28.4,80,0.488,261,293,-0.4,3.18,3.57,23.2,63,73.19,5,2572,10.1,2918,0.9,2018,False
Edmonton Oilers,26.8,78,0.476,229,262,-0.32,2.79,3.2,14.76,57,76.73,11,2740,8.4,2634,0.901,2018,False
New York Rangers,28.7,77,0.47,228,263,-0.46,2.78,3.21,21.16,46,81.38,5,2538,9.0,2898,0.909,2018,False
Chicago Blackhawks,28.0,76,0.463,228,254,-0.26,2.78,3.1,15.99,49,79.24,5,2793,8.2,2697,0.906,2018,False
Vancouver Canucks,28.2,73,0.445,218,259,-0.51,2.66,3.16,21.46,60,78.26,7,2464,8.8,2641,0.902,2018,False
Detroit Red Wings,30.2,73,0.445,212,254,-0.48,2.59,3.1,17.52,58,77.61,9,2490,8.5,2613,0.903,2018,False
Montreal Canadiens,27.8,71,0.433,207,258,-0.68,2.52,3.15,21.31,68,74.14,7,2687,7.7,2650,0.903,2018,False
Arizona Coyotes,26.5,70,0.427,206,251,-0.53,2.51,3.06,16.87,46,79.46,2,2450,8.4,2642,0.905,2018,False
Ottawa Senators,29.3,67,0.409,219,284,-0.85,2.67,3.46,16.53,56,76.17,4,2515,8.7,2712,0.895,2018,False
Buffalo Sabres,27.1,62,0.378,198,278,-0.98,2.41,3.39,19.07,52,77.87,9,2557,7.7,2681,0.896,2018,False
Tampa Bay Lightning*,27.1,128,0.78,319,221,1.21,3.89,2.7,28.24,40,85.02,12,2620,12.2,2633,0.916,2019,False
Boston Bruins*,28.7,107,0.652,257,212,0.52,3.13,2.59,25.9,49,79.92,7,2680,9.6,2416,0.912,2019,False
Calgary Flames*,27.7,107,0.652,289,223,0.7,3.52,2.72,19.27,50,79.67,18,2656,10.9,2302,0.903,2019,False
Washington Capitals*,28.8,104,0.634,274,248,0.35,3.34,3.02,20.76,55,78.93,5,2492,11.0,2584,0.904,2019,False
New York Islanders*,28.4,103,0.628,223,191,0.38,2.72,2.33,14.54,44,79.91,6,2360,9.4,2534,0.925,2019,False
San Jose Sharks*,29.4,101,0.616,289,258,0.3,3.52,3.15,23.65,45,80.77,9,2708,10.7,2323,0.889,2019,False
Toronto Maple Leafs*,27.5,100,0.61,286,249,0.42,3.49,3.04,21.8,41,79.9,5,2736,10.5,2717,0.908,2019,False
Pittsburgh Penguins*,28.4,100,0.61,271,238,0.38,3.3,2.9,24.56,45,79.73,12,2731,9.9,2729,0.913,2019,False
Nashville Predators*,28.9,100,0.61,236,212,0.31,2.88,2.59,12.94,45,82.07,8,2677,8.8,2460,0.914,2019,False
Winnipeg Jets*,26.6,99,0.604,270,243,0.33,3.29,2.96,24.8,52,79.2,10,2557,10.6,2741,0.911,2019,False
Carolina Hurricanes*,26.8,99,0.604,243,221,0.26,2.96,2.7,17.81,44,81.59,8,2822,8.6,2343,0.906,2019,False
St. Louis Blues*,28.0,99,0.604,244,220,0.28,2.98,2.68,21.1,43,81.47,5,2604,9.4,2345,0.906,2019,True
Columbus Blue Jackets*,26.6,98,0.598,256,231,0.31,3.12,2.82,15.38,30,85.0,8,2592,9.9,2418,0.904,2019,False
Montreal Canadiens,27.9,96,0.585,246,236,0.16,3.0,2.88,13.25,46,80.91,5,2796,8.8,2548,0.907,2019,False
Vegas Golden Knights*,29.2,93,0.567,246,228,0.19,3.0,2.78,16.81,44,80.87,11,2814,8.7,2399,0.905,2019,False
Dallas Stars*,28.3,93,0.567,209,200,0.09,2.55,2.44,21.03,41,82.77,4,2519,8.3,2591,0.923,2019,False
Colorado Avalanche*,27.0,90,0.549,258,244,0.17,3.15,2.98,22.03,58,78.68,9,2676,9.6,2619,0.907,2019,False
Arizona Coyotes,27.2,86,0.524,209,220,-0.14,2.55,2.68,16.28,34,84.96,16,2522,8.3,2526,0.913,2019,False
Florida Panthers,28.0,86,0.524,264,273,-0.14,3.22,3.33,26.77,43,81.3,3,2705,9.8,2516,0.891,2019,False
Chicago Blackhawks,28.5,84,0.512,267,291,-0.25,3.26,3.55,20.17,63,72.73,6,2669,10.0,2852,0.898,2019,False
Minnesota Wild,29.5,83,0.506,210,233,-0.3,2.56,2.84,20.33,44,81.67,5,2567,8.2,2419,0.904,2019,False
Philadelphia Flyers,26.6,82,0.5,241,280,-0.42,2.94,3.41,17.09,51,78.48,4,2583,9.3,2665,0.895,2019,False
Vancouver Canucks,26.9,81,0.494,219,248,-0.35,2.67,3.02,17.13,48,81.1,7,2433,9.0,2597,0.905,2019,False
Anaheim Ducks,27.5,80,0.488,196,248,-0.63,2.39,3.02,16.98,55,79.7,5,2271,8.6,2725,0.909,2019,False
Edmonton Oilers,27.2,79,0.482,229,271,-0.51,2.79,3.3,21.17,62,74.8,10,2392,9.6,2599,0.896,2019,False
New York Rangers,27.4,78,0.476,221,267,-0.52,2.7,3.26,19.38,58,78.2,7,2393,9.2,2774,0.904,2019,False
Buffalo Sabres,26.6,76,0.463,221,268,-0.51,2.7,3.27,19.49,41,80.93,3,2697,8.2,2704,0.901,2019,False
Detroit Red Wings,29.3,74,0.451,224,272,-0.57,2.73,3.32,18.06,56,77.14,7,2394,9.4,2761,0.901,2019,False
New Jersey Devils,27.5,72,0.439,219,271,-0.61,2.67,3.3,17.72,40,84.31,10,2488,8.8,2592,0.895,2019,False
Los Angeles Kings,29.3,71,0.433,199,259,-0.73,2.43,3.16,15.84,54,76.52,4,2358,8.4,2578,0.9,2019,False
Ottawa Senators,27.3,64,0.39,242,301,-0.69,2.95,3.67,20.35,45,79.17,4,2429,10.0,2931,0.897,2019,False
Boston Bruins*,29.1,100,0.714,227,167,0.74,3.24,2.39,25.22,34,84.19,5,2247,10.1,2103,0.921,2020,False
St. Louis Blues*,28.4,94,0.662,223,190,0.47,3.14,2.68,24.26,42,79.31,5,2179,10.2,2100,0.91,2020,False
Tampa Bay Lightning*,27.7,92,0.657,243,194,0.71,3.47,2.77,23.22,43,81.39,6,2176,11.2,2165,0.91,2020,True
Colorado Avalanche*,26.8,92,0.657,236,190,0.64,3.37,2.71,19.09,39,81.43,8,2257,10.5,2193,0.913,2020,False
Washington Capitals*,29.0,90,0.652,236,212,0.41,3.42,3.07,19.44,42,82.57,6,2206,10.7,2084,0.898,2020,False
Philadelphia Flyers*,27.2,89,0.645,227,191,0.52,3.29,2.77,20.8,38,81.82,8,2166,10.5,1977,0.903,2020,False
Vegas Golden Knights*,29.2,86,0.606,224,209,0.21,3.15,2.94,21.99,50,76.64,9,2450,9.1,2082,0.9,2020,False
Pittsburgh Penguins*,27.7,86,0.623,221,196,0.39,3.2,2.84,19.91,34,82.11,6,2204,10.0,2051,0.904,2020,False
Edmonton Oilers*,28.0,83,0.585,223,215,0.09,3.14,3.03,29.5,31,84.42,3,2100,10.6,2274,0.905,2020,False
Dallas Stars*,29.4,82,0.594,178,174,0.09,2.58,2.52,21.11,44,79.72,5,2113,8.4,2177,0.92,2020,False
Columbus Blue Jackets*,26.2,81,0.579,180,183,-0.12,2.57,2.61,16.4,31,81.66,3,2272,7.9,2092,0.913,2020,False
Toronto Maple Leafs*,26.8,81,0.579,237,222,0.15,3.39,3.17,23.08,43,77.72,5,2302,10.3,2233,0.901,2020,False
Carolina Hurricanes*,26.7,81,0.596,217,193,0.41,3.19,2.84,22.33,39,83.95,10,2261,9.6,1994,0.903,2020,False
Winnipeg Jets*,26.5,80,0.563,213,201,0.17,3.0,2.83,20.49,39,77.59,6,2222,9.6,2315,0.913,2020,False
New York Islanders*,28.8,80,0.588,189,190,0.01,2.78,2.79,17.26,34,80.68,6,2016,9.4,2123,0.911,2020,False
Calgary Flames*,27.7,79,0.564,204,214,-0.08,2.91,3.06,21.24,35,82.14,6,2212,9.2,2271,0.906,2020,False
New York Rangers*,26.2,79,0.564,233,220,0.15,3.33,3.14,22.91,52,77.39,8,2175,10.7,2381,0.908,2020,False
Vancouver Canucks*,27.5,78,0.565,224,214,0.13,3.25,3.1,24.15,42,80.47,5,2153,10.4,2297,0.907,2020,False
Florida Panthers*,28.2,78,0.565,228,224,0.05,3.3,3.25,21.33,40,78.49,4,2253,10.1,2227,0.899,2020,False
Nashville Predators*,29.1,78,0.565,212,214,-0.03,3.07,3.1,17.26,51,76.06,6,2287,9.3,2157,0.901,2020,False
Minnesota Wild*,29.4,77,0.558,218,217,0.01,3.16,3.14,21.3,47,77.18,3,2077,10.5,2115,0.897,2020,False
Arizona Coyotes*,28.2,74,0.529,190,183,0.11,2.71,2.61,19.16,34,82.74,5,2220,8.6,2270,0.919,2020,False
Chicago Blackhawks*,28.1,72,0.514,208,214,-0.05,2.97,3.06,15.21,37,82.13,6,2227,9.3,2458,0.913,2020,False
Montreal Canadiens*,28.4,71,0.5,208,220,-0.12,2.93,3.1,17.74,45,78.67,6,2422,8.6,2208,0.9,2020,False
New Jersey Devils,26.9,68,0.493,185,224,-0.57,2.68,3.25,17.95,39,82.35,9,2117,8.7,2256,0.901,2020,False
Buffalo Sabres,26.5,68,0.493,193,215,-0.34,2.8,3.12,18.88,47,74.59,5,2021,9.5,2148,0.9,2020,False
Anaheim Ducks,27.8,67,0.472,182,225,-0.53,2.56,3.17,14.67,49,77.0,10,2106,8.6,2282,0.901,2020,False
Los Angeles Kings,28.6,64,0.457,177,209,-0.48,2.53,2.99,17.1,43,77.37,5,2325,7.6,2079,0.899,2020,False
San Jose Sharks,29.5,63,0.45,180,225,-0.62,2.57,3.21,17.46,32,85.71,7,2101,8.6,2140,0.895,2020,False
Ottawa Senators,27.7,62,0.437,190,238,-0.76,2.68,3.35,14.22,55,76.09,15,2174,8.7,2384,0.9,2020,False
Detroit Red Wings,28.6,39,0.275,142,265,-1.7,2.0,3.73,14.88,58,74.34,4,1924,7.4,2329,0.886,2020,False
Vegas Golden Knights*,29.2,82,0.732,190,122,1.05,3.39,2.18,17.82,19,86.81,4,1829,10.4,1527,0.92,2021,False
Colorado Avalanche*,27.1,82,0.732,197,132,1.0,3.52,2.36,22.71,30,83.05,1,1937,10.2,1423,0.907,2021,False
Carolina Hurricanes*,27.1,80,0.714,175,134,0.67,3.13,2.39,25.61,26,85.23,7,1794,9.8,1581,0.915,2021,False
Florida Panthers*,28.1,79,0.705,188,151,0.56,3.36,2.7,20.53,34,79.76,4,1954,9.6,1682,0.91,2021,False
Washington Capitals*,30.6,77,0.688,188,161,0.44,3.36,2.88,24.84,26,83.95,2,1647,11.4,1612,0.9,2021,False
Toronto Maple Leafs*,29.0,77,0.688,186,148,0.6,3.32,2.64,20.0,31,78.47,3,1751,10.6,1558,0.905,2021,False
Pittsburgh Penguins*,28.4,77,0.688,193,155,0.62,3.45,2.77,23.68,35,77.42,6,1684,11.5,1679,0.908,2021,False
Tampa Bay Lightning*,28.4,75,0.67,180,145,0.53,3.21,2.59,22.22,29,84.15,3,1692,10.6,1583,0.908,2021,True
Minnesota Wild*,29.3,75,0.67,180,159,0.33,3.21,2.84,17.58,31,80.75,2,1585,11.4,1705,0.907,2021,False
Boston Bruins*,28.7,73,0.652,164,134,0.5,2.93,2.39,21.88,25,85.96,9,1866,8.8,1516,0.912,2021,False
Edmonton Oilers*,28.7,72,0.643,183,154,0.44,3.27,2.75,27.59,27,82.47,2,1674,10.9,1717,0.91,2021,False
New York Islanders*,29.2,71,0.634,152,125,0.44,2.71,2.23,18.75,22,83.7,4,1623,9.4,1590,0.921,2021,False
Nashville Predators*,28.5,64,0.571,151,154,0.03,2.7,2.75,17.61,42,75.58,6,1679,9.0,1753,0.912,2021,False
St. Louis Blues*,28.6,63,0.563,167,167,-0.02,2.98,2.98,23.23,38,77.78,6,1622,10.3,1670,0.9,2021,False
Winnipeg Jets*,28.3,63,0.563,170,152,0.25,3.04,2.71,22.98,29,80.54,3,1661,10.2,1713,0.911,2021,False
Dallas Stars,28.5,60,0.536,156,148,0.06,2.79,2.64,23.57,32,79.08,3,1699,9.2,1518,0.903,2021,False
New York Rangers,25.8,60,0.536,176,155,0.31,3.14,2.77,20.67,30,82.25,8,1607,11.0,1664,0.907,2021,False
Montreal Canadiens*,28.9,59,0.527,158,165,-0.14,2.82,2.95,19.21,37,78.49,9,1746,9.0,1579,0.896,2021,False
Philadelphia Flyers,27.8,58,0.518,160,197,-0.59,2.86,3.52,19.16,45,73.05,1,1692,9.5,1636,0.88,2021,False
Chicago Blackhawks,27.0,55,0.491,159,184,-0.39,2.84,3.29,21.71,35,76.82,3,1635,9.7,1888,0.903,2021,False
Calgary Flames,28.6,55,0.491,155,160,-0.08,2.77,2.86,18.29,34,80.23,2,1689,9.2,1577,0.899,2021,False
Arizona Coyotes,28.3,54,0.482,150,174,-0.36,2.68,3.11,20.79,32,80.84,2,1538,9.8,1706,0.898,2021,False
Ottawa Senators,26.1,51,0.455,155,189,-0.51,2.77,3.38,15.52,36,78.95,7,1663,9.3,1799,0.895,2021,False
Vancouver Canucks,27.7,50,0.446,148,187,-0.56,2.64,3.34,17.42,37,79.78,6,1629,9.1,1870,0.9,2021,False
Los Angeles Kings,27.5,49,0.438,142,169,-0.42,2.54,3.02,18.93,26,83.65,3,1587,8.9,1746,0.903,2021,False
San Jose Sharks,29.0,49,0.438,146,196,-0.75,2.61,3.5,14.1,36,80.43,5,1682,8.7,1791,0.891,2021,False
Detroit Red Wings,29.3,48,0.429,125,168,-0.69,2.23,3.0,11.41,33,78.71,0,1528,8.2,1786,0.906,2021,False
Columbus Blue Jackets,27.1,48,0.429,134,184,-0.78,2.39,3.29,15.38,28,78.95,6,1625,8.2,1815,0.899,2021,False
New Jersey Devils,25.9,45,0.402,145,189,-0.77,2.59,3.38,14.19,43,70.95,3,1612,9.0,1737,0.891,2021,False
Anaheim Ducks,28.2,43,0.384,124,177,-0.83,2.21,3.16,8.94,33,79.88,2,1500,8.3,1712,0.897,2021,False
Buffalo Sabres,26.9,37,0.33,134,196,-0.95,2.39,3.5,20.98,31,77.7,5,1592,8.4,1889,0.896,2021,False
Florida Panthers*,27.8,122,0.744,337,242,1.07,4.11,2.95,24.43,53,79.54,12,3062,11.0,2515,0.904,2022,False
